人物,開場白,出牌相同時對白,被克制時對白,克制對方時對白,標籤
亞里士多德,理性是我的武器，而你將無處可逃。,邏輯一致，但結果必然分出高低。,理性無懼挫折，真正的勝利尚未來臨。,你的謬誤，將是你的敗筆。,準備
凱瑟琳大帝,智慧與權力並存，我將決定你的命運。,同樣的智慧，但我的權謀更勝一籌。,真正的領袖，不會被逆境擊倒。,你的策略，完全落入我的掌握。,準備
喬治·華盛頓,自由的信念，將引領我走向勝利。,信念一致，但我的行動更加堅定。,自由從不輕易屈服，失敗只是暫時的。,你的行動，無法動搖我的信仰。,防守
尤里·加加林,在未知的領域中，我總是先行者。,冒險的選擇相同，但我的勇氣更大。,太空探索一樣充滿險阻，但我不會退縮。,你的計劃，無法與我的突破相比。,攻擊
瑪麗·安東尼,優雅與策略，是我對抗的方式。,選擇相同，但我的魅力更勝一籌。,挫折只會讓我的優雅更加耀眼。,你的失敗，彰顯了我的策略之美。,準備
尼采,超人哲學將碾碎你的懦弱。,我們都選擇了力量，但我是唯一的超人。,逆境是強者的養分，準備迎接新的我吧！,你的軟弱，證明了我的理論。,攻擊
莫扎特,我的音符，將擊敗你的沉默。,旋律相似，但我的和弦更加致命。,安靜只是為了準備一場更大的交響。,你的失誤，成了我的完美樂章。,準備
達芬奇,藝術與科學，是我戰鬥的雙刃劍。,策略相同，但我的創造力無窮無盡。,每一次失敗，都是一次新的靈感。,你的策略，無法逃過我的透視法則。,準備
梵高,瘋狂中蘊藏著無窮的力量。,我們的激情相同，但我的畫筆更犀利。,失敗只會點燃我內心更大的火焰。,你的平庸，成了我藝術的點綴。,攻擊
拿破崙·希爾,成功來自心念，而你將見證我的信念。,思想一致，但執行決定結果。,逆境只會讓我的信念更堅定。,你的想法，無法與我的力量匹敵。,防守
